"document_type","n"
"- Article",960
"- Review",441
"Article",155
"- Editorial Material",137
"Review",78
"- Article; - Early Access",75
"- Meeting Abstract",24
"- Review; - Early Access",23
"- Correction",19
"- Letter",19
"- Article; - Book Chapter",11
"Cureus",9
"- News Item",5
"Curr Top Behav Neurosci",4
"bioRxiv",3
"Front Psychiatry",3
"- Article; - Retracted Publication",2
"Adv Exp Med Biol",2
"Am J Psychiatry",2
"BMJ",2
"Focus (Am Psychiatr Publ)",2
"J Affect Disord",2
"J Psychoactive Drugs",2
"medRxiv",2
"MMW Fortschr Med",2
"Psychedelic Med (New Rochelle)",2
"Psychopharmacology (Berl)",2
"Res Sq",2
"Vertex",2
"- Biographical-Item",1
"- Editorial Material; - Early Access",1
"- News Item; - Early Access",1
"- Proceedings Paper",1
"Ann Med Surg (Lond)",1
"Ann Palliat Med",1
"BJPsych Open",1
"Cancer",1
"EClinicalMedicine",1
"Exploring Psychedelics and Entactogens as Treatments for Psychiatric Disorders: Proceedings of a Workshop",1
"Hum Psychopharmacol",1
"J Clin Psychopharmacol",1
"J Mood Anxiety Disord",1
"J Pain",1
"J Stud Alcohol Drugs",1
"Med Lett Drugs Ther",1
"Mol Psychiatry",1
"Nature",1
"Psychedelics (N Y)",1
"Psychopharmacol Bull",1
"Rural Ment Health",1
"Transl Psychiatry",1
"Trends Psychiatry Psychother",1
