"journal","n"
"",1720
"Journal of Psychopharmacology",16
"Journal of Psychoactive Drugs",14
"Frontiers in Psychiatry",10
"Cureus",9
"Nature",7
"International Review of Neurobiology",6
"Nervenheilkunde",6
"Curr Top Behav Neurosci",4
"bioRxiv",3
"Front Psychiatry",3
"Journal of Affective Disorders",3
"Journal of Neurochemistry",3
"Molecular Psychiatry",3
"Neuroscience and Biobehavioral Reviews",3
"Primary Care Companion for CNS Disorders",3
"Acta Neurologica Colombiana",2
"Adv Exp Med Biol",2
"Am J Psychiatry",2
"American Journal of Emergency Medicine",2
