Source,Documents
JOURNAL OF PSYCHOPHARMACOLOGY,78
FRONTIERS IN PSYCHIATRY,53
JOURNAL OF PSYCHOACTIVE DRUGS,44
JOURNAL OF PSYCHEDELIC STUDIES,38
PSYCHEDELIC MEDICINE,35
JOURNAL OF AFFECTIVE DISORDERS,34
PSYCHOPHARMACOLOGY,30
SCIENTIFIC REPORTS,30
NEUROPSYCHOPHARMACOLOGY,27
MOLECULAR PSYCHIATRY,24
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,19
PSYCHOACTIVES,18
TRANSLATIONAL PSYCHIATRY,17
NEUROPHARMACOLOGY,17
FRONTIERS IN PSYCHOLOGY,17
PSYCHIATRY RESEARCH,15
ACS CHEMICAL NEUROSCIENCE,14
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,14
THERAPEUTIC ADVANCES IN PSYCHOPHARMACOLOGY,13
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,12
