Keyword,Frequency
psilocybin,570
psychedelics,493
depression,254
psychedelic,140
lsd,103
ketamine,87
mdma,81
anxiety,79
psychedelic-assisted therapy,68
mental health,56
psychotherapy,54
ayahuasca,53
hallucinogens,52
major depressive disorder,48
psychedelic therapy,41
serotonin,39
dmt,38
treatment-resistant depression,38
cancer,36
psychedelic-assisted psychotherapy,35
neuroplasticity,34
palliative care,32
ptsd,32
therapy,32
psychiatry,31
psilocybin-assisted therapy,29
psilocin,28
antidepressant,26
clinical trials,25
existential distress,24
